date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2020-12-21,Mon,2075,1,0,0,1,2020-12-20,2020-12-20
2020-12-22,Tue,2521,1,1,0,0,2020-12-21,2020-12-21
2020-12-23,Wed,3264,1,1,0,0,2020-12-23,2020-12-22
2020-12-24,Thu,2143,1,0,0,1,2020-12-24,2020-12-23
2020-12-25,Fri,3090,1,0,0,1,2020-12-26,2020-12-25
2020-12-26,Sat,3596,0,1,0,0,,2020-12-26
2020-12-28,Mon,1028,1,0,0,1,2020-12-27,2020-12-27
2020-12-29,Tue,1905,1,1,0,0,2020-12-28,2020-12-28
2020-12-30,Wed,2749,1,1,0,0,2020-12-30,2020-12-29
2020-12-31,Thu,2650,0,1,1,0,,2020-12-30
2021-01-01,Fri,2567,1,0,0,1,2021-01-01,2020-12-31
2021-01-02,Sat,1940,0,0,0,0,,2021-01-01
2021-01-04,Mon,2387,1,1,0,0,2021-01-04,2021-01-03
2021-01-05,Tue,1776,0,1,0,0,,2021-01-04
2021-01-06,Wed,1903,1,1,0,0,2021-01-09,2021-01-06
2021-01-07,Thu,3159,1,1,0,0,2021-01-14,2021-01-09
2021-01-08,Fri,2,0,0,0,0,,2021-01-14
2021-01-11,Mon,475,1,0,0,0,2021-01-14,2021-01-14
2021-01-12,Tue,1779,0,1,0,0,,2021-01-14
2021-01-13,Wed,1229,1,0,0,0,2021-01-17,2021-01-16
2021-01-14,Thu,2243,1,1,0,0,2021-01-19,2021-01-17
2021-01-15,Fri,2199,0,0,0,0,,2021-01-24
2021-01-18,Mon,1815,1,1,0,0,2021-01-20,2021-01-19
2021-01-19,Tue,846,1,0,0,1,2021-01-19,2021-01-19
2021-01-20,Wed,2130,1,1,0,0,2021-01-20,2021-01-19
2021-01-21,Thu,2373,0,1,0,0,,2021-01-20
2021-01-22,Fri,2359,0,1,0,0,,2021-01-21
2021-01-25,Mon,812,1,0,0,1,2021-01-25,2021-01-25
2021-01-26,Tue,2088,0,1,0,0,,2021-01-25
2021-01-27,Wed,1205,1,0,0,0,2021-01-28,2021-01-28
2021-01-28,Thu,1275,0,0,0,0,,2021-01-28
2021-02-01,Mon,417,1,0,0,1,2021-02-01,2021-02-01
2021-02-02,Tue,1229,0,1,0,0,,2021-02-01
2021-02-03,Wed,2640,0,1,0,0,,2021-02-04
2021-02-04,Thu,2854,1,1,0,0,2021-02-08,2021-02-04
2021-02-05,Fri,3226,1,1,0,0,2021-02-12,2021-02-08
2021-02-08,Mon,931,1,0,0,0,2021-02-12,2021-02-12
2021-02-09,Tue,2349,1,0,0,0,2021-02-12,2021-02-12
2021-02-10,Wed,1262,1,0,0,0,2021-02-12,2021-02-12
2021-02-11,Thu,4129,1,0,0,0,2021-02-15,2021-02-13
2021-02-12,Fri,2093,0,0,0,0,,2021-02-15
