date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2019-02-23,Sat,1058,0,0,0,0,,2019-02-23
2019-02-25,Mon,699,1,0,0,1,2019-02-25,2019-02-25
2019-02-26,Tue,3245,0,0,0,0,,2019-02-25
2019-02-27,Wed,2027,0,1,0,0,,2019-02-26
2019-02-28,Thu,2424,0,1,0,0,,2019-02-28
2019-03-01,Fri,1575,0,0,0,0,,2019-03-01
2019-03-04,Mon,1070,0,1,0,0,,2019-03-04
2019-03-05,Tue,1504,0,0,0,0,,2019-03-05
2019-03-06,Wed,2557,0,1,0,0,,2019-03-06
2019-03-07,Thu,1671,0,1,1,0,,2019-03-07
2019-03-08,Fri,827,0,0,0,0,,2019-03-11
2019-03-11,Mon,1339,1,0,0,1,2019-03-11,2019-03-10
2019-03-12,Tue,2455,1,1,0,0,2019-03-17,2019-03-12
2019-03-13,Wed,2223,0,1,0,0,,2019-03-12
2019-03-14,Thu,769,0,0,0,0,,2019-03-14
2019-03-15,Fri,770,0,0,0,0,,2019-03-15
2019-03-16,Sat,694,0,1,0,0,,2019-03-16
2019-03-18,Mon,1532,1,1,0,0,2019-03-17,2019-03-17
2019-03-19,Tue,1384,0,0,0,0,,2019-03-18
2019-03-20,Wed,2582,1,1,1,0,2019-03-21,2019-03-19
2019-03-21,Thu,1598,0,1,0,0,,2019-03-21
2019-03-22,Fri,1108,0,1,0,0,,2019-03-22
2019-03-25,Mon,1745,1,0,0,1,2019-03-25,2019-03-25
2019-03-26,Tue,1495,1,0,0,1,2019-03-26,2019-03-25
2019-03-27,Wed,1075,1,1,0,0,2019-03-28,2019-03-26
2019-03-28,Thu,2658,0,1,0,0,,2019-03-27
2019-03-29,Fri,1293,0,0,0,0,,2019-03-29
2019-04-01,Mon,1099,1,0,0,1,2019-04-01,2019-03-31
2019-04-02,Tue,868,0,0,0,0,,2019-04-01
2019-04-03,Wed,1253,0,0,0,0,,2019-04-03
2019-04-04,Thu,865,0,1,0,0,,2019-04-05
2019-04-05,Fri,20,0,0,0,0,,2019-04-07
2019-04-08,Mon,1068,1,0,0,0,2019-04-09,2019-04-09
2019-04-09,Tue,4008,0,1,0,0,,2019-04-09
2019-04-10,Wed,1692,0,1,0,0,,2019-04-10
2019-04-11,Thu,2616,1,1,1,0,2019-04-12,2019-04-11
2019-04-12,Fri,4877,1,1,1,0,2019-04-15,2019-04-12
2019-04-13,Sat,2038,0,1,0,0,,2019-04-15
2019-04-15,Mon,1269,1,1,0,0,2019-04-15,2019-04-15
2019-04-16,Tue,1864,1,1,1,0,2019-04-17,2019-04-16
2019-04-17,Wed,1086,1,0,0,1,2019-04-17,2019-04-16
2019-04-18,Thu,2593,1,1,1,0,2019-04-18,2019-04-17
2019-04-19,Fri,1629,0,1,0,0,,2019-04-18
2019-04-21,Sun,1323,0,0,0,0,,2019-04-20
2019-04-22,Mon,1105,1,1,1,0,2019-04-23,2019-04-21
2019-04-23,Tue,1787,1,1,0,0,2019-04-24,2019-04-23
2019-04-24,Wed,1571,1,1,0,0,2019-04-25,2019-04-24
2019-04-25,Thu,4973,1,1,1,0,2019-04-29,2019-04-25
2019-04-26,Fri,5074,1,1,0,0,2019-04-30,2019-04-26
2019-04-27,Sat,1097,0,1,0,0,,2019-04-30
2019-04-29,Mon,924,1,1,0,0,2019-04-30,2019-04-29
2019-04-30,Tue,2249,1,1,0,0,2019-04-30,2019-04-30
2019-05-01,Wed,1780,1,0,0,1,2019-04-30,2019-04-30
2019-05-02,Thu,1018,0,1,0,0,,2019-05-01
2019-05-03,Fri,1660,0,1,0,0,,2019-05-03
2019-05-04,Sat,312,0,0,0,0,,2019-05-04
2019-05-06,Mon,154,0,0,0,0,,2019-05-05
2019-05-08,Wed,490,0,0,0,0,,2019-05-11
2019-05-14,Tue,319,0,0,0,0,,2019-05-17
2019-05-15,Wed,1025,0,1,0,0,,2019-05-15
2019-05-16,Thu,2898,1,1,1,0,2019-05-16,2019-05-16
2019-05-17,Fri,903,0,0,0,0,,2019-05-17
2019-05-18,Sat,5069,0,1,0,0,,2019-05-19
2019-05-20,Mon,1515,1,1,1,0,2019-05-21,2019-05-20
2019-05-21,Tue,1261,1,0,0,0,2019-05-22,2019-05-21
2019-05-22,Wed,3559,1,1,1,0,2019-05-23,2019-05-22
2019-05-23,Thu,2798,1,1,1,0,2019-05-25,2019-05-23
2019-05-24,Fri,1045,0,0,0,0,,2019-05-25
2019-05-29,Wed,3429,1,1,1,0,2019-06-03,2019-06-01
2019-05-30,Thu,4578,0,1,0,0,,2019-06-03
2019-06-04,Tue,1,0,0,0,0,,2019-06-08
2019-06-05,Wed,312,0,1,0,0,,2019-06-05
2019-06-06,Thu,1020,0,0,0,0,,2019-06-08
2019-06-19,Wed,1845,0,1,0,0,,2019-06-19
2019-06-20,Thu,1932,0,1,0,0,,2019-06-24
2019-06-24,Mon,2,0,0,0,0,,2019-06-24
2019-07-25,Thu,224,0,0,0,0,,2019-11-04
2019-07-30,Tue,1219,0,1,0,0,,2019-08-01
2019-07-31,Wed,2775,0,0,0,0,,2019-08-05
2019-08-01,Thu,2100,0,1,0,0,,2019-08-06
2019-08-07,Wed,3881,1,1,0,0,2019-08-13,2019-08-08
2019-08-08,Thu,4507,1,1,0,0,2019-08-14,2019-08-13
2019-08-09,Fri,2092,0,1,0,0,,2019-08-15
2019-08-12,Mon,2043,0,0,0,0,,2019-09-21
2019-08-13,Tue,1021,1,1,1,0,2019-08-14,2019-08-14
2019-08-14,Wed,2032,1,1,0,0,2019-08-14,2019-08-14
2019-08-15,Thu,2840,0,1,0,0,,2019-08-14
2019-08-16,Fri,2479,0,1,0,0,,2019-08-15
2019-08-19,Mon,1554,0,1,0,0,,2019-08-18
2019-08-20,Tue,1344,1,1,0,0,2019-08-19,2019-08-19
2019-08-21,Wed,4165,1,1,0,0,2019-08-21,2019-08-20
2019-08-22,Thu,2279,1,1,1,0,2019-08-23,2019-08-21
2019-08-23,Fri,3124,1,1,1,0,2019-08-26,2019-08-23
2019-08-24,Sat,3373,0,1,0,0,,2019-08-26
2019-08-26,Mon,399,0,0,0,0,,2019-08-26
2019-08-28,Wed,1763,1,1,0,0,2019-08-29,2019-08-28
2019-08-29,Thu,3578,1,1,0,0,2019-08-30,2019-08-29
2019-08-30,Fri,2539,0,1,0,0,,2019-08-30
2019-08-31,Sat,4566,1,1,0,0,2019-09-03,2019-08-31
2019-09-03,Tue,2684,1,0,0,0,2019-09-04,2019-09-03
2019-09-04,Wed,1549,1,1,0,0,2019-09-04,2019-09-04
2019-09-05,Thu,3282,0,1,0,0,,2019-09-04
2019-09-06,Fri,1300,0,1,0,0,,2019-09-06
2019-09-07,Sat,942,0,0,0,0,,2019-09-08
2019-09-09,Mon,789,1,0,0,0,2019-09-10,2019-09-09
2019-09-10,Tue,1159,1,1,0,0,2019-09-11,2019-09-10
2019-09-11,Wed,2528,0,1,0,0,,2019-09-11
2019-09-12,Thu,2659,0,1,0,0,,2019-09-12
2019-09-13,Fri,2142,0,1,0,0,,2019-09-13
2019-09-14,Sat,2907,0,1,0,0,,2019-09-15
2019-09-16,Mon,1169,1,1,0,0,2019-09-17,2019-09-16
2019-09-17,Tue,2541,1,1,0,0,2019-09-18,2019-09-17
2019-09-18,Wed,1346,1,0,0,1,2019-09-18,2019-09-18
2019-09-19,Thu,5507,1,1,0,0,2019-09-19,2019-09-18
2019-09-20,Fri,3379,1,1,0,0,2019-09-20,2019-09-20
2019-09-21,Sat,3162,0,1,0,0,,2019-09-20
2019-09-23,Mon,1296,1,0,0,1,2019-09-24,2019-09-23
2019-09-24,Tue,2883,1,1,0,0,2019-09-24,2019-09-24
